31280 : ['n.a.', '09:00AM - 09:50AM', 'TR']
29660 : ['248 Agricultural Engr Sciences Bld', '03:00PM - 04:50PM', 'W']
29662 : ['242 Agricultural Engr Sciences Bld', '09:30AM - 10:50AM', 'TR']
29663 : ['272 Agricultural Engr Sciences Bld', '09:00AM - 10:50AM', 'TR']
57478 : ['272 Agricultural Engr Sciences Bld', '01:00PM - 02:20PM', 'TR']
50183 : ['n.a.', 'ARRANGED', 'n.a.']
10169 : ['n.a.', 'ARRANGED', 'n.a.']
72232 : ['Location Pending', 'ARRANGED', 'n.a.']
39806 : ['272 Agricultural Engr Sciences Bld', '01:00PM - 01:50PM', 'F']
75474 : ['158 Loomis Laboratory158 Loomis Laboratory', '03:30PM - 04:20PM140002:00PM - 03:20PM', 'R      TR']
47356 : ['208 Agricultural Engr Sciences Bld', '12:00PM - 12:50PM', 'F']
10177 : ['n.a.', 'ARRANGED', 'n.a.']
10033 : ['n.a.', 'ARRANGED', 'n.a.']
69998 : ['3003 Business Instructional Fac', '03:30PM - 04:20PM', 'M']
39539 : ['n.a.', 'ARRANGED', 'n.a.']
29670 : ['n.a.', 'ARRANGED', 'n.a.']
36478 : ['2011 Business Instructional Fac', '08:00AM - 08:50AM', 'F']
36482 : ['2011 Business Instructional Fac', '09:00AM - 09:50AM', 'F']
36484 : ['2001 Business Instructional Fac', '09:00AM - 09:50AM', 'F']
36486 : ['2011 Business Instructional Fac', '10:00AM - 10:50AM', 'F']
36487 : ['3057 Business Instructional Fac', '10:00AM - 10:50AM', 'F']
36489 : ['2001 Business Instructional Fac', '08:00AM - 08:50AM', 'F']
36494 : ['2011 Business Instructional Fac', '11:00AM - 11:50AM', 'F']
36496 : ['3057 Business Instructional Fac', '11:00AM - 11:50AM', 'F']
36499 : ['3063 Business Instructional Fac', '08:00AM - 08:50AM', 'F']
36502 : ['3009 Business Instructional Fac', '01:00PM - 01:50PM', 'F']
36506 : ['2011 Business Instructional Fac', '12:00PM - 12:50PM', 'F']
36509 : ['3057 Business Instructional Fac', '12:00PM - 12:50PM', 'F']
36513 : ['2001 Business Instructional Fac', '02:00PM - 02:50PM', 'F']
36516 : ['3063 Business Instructional Fac', '09:00AM - 09:50AM', 'F']
36522 : ['2011 Business Instructional Fac', '01:00PM - 01:50PM', 'F']
36526 : ['3057 Business Instructional Fac', '01:00PM - 01:50PM', 'F']
36530 : ['2001 Business Instructional Fac', '01:00PM - 01:50PM', 'F']
36536 : ['2011 Business Instructional Fac', '02:00PM - 02:50PM', 'F']
36538 : ['3057 Business Instructional Fac', '02:00PM - 02:50PM', 'F']
36543 : ['3063 Business Instructional Fac', '02:00PM - 02:50PM', 'F']
36474 : ['n.a.', '11:00AM - 12:20PM', 'W']
36477 : ['n.a.', '12:30PM - 01:50PM', 'W']
71428 : ['n.a.', '09:30AM - 10:50AM', 'W']
36552 : ['3057 Business Instructional Fac', '08:00AM - 08:50AM', 'F']
36556 : ['3057 Business Instructional Fac', '09:00AM - 09:50AM', 'F']
36560 : ['3063 Business Instructional Fac', '10:00AM - 10:50AM', 'F']
36565 : ['3063 Business Instructional Fac', '11:00AM - 11:50AM', 'F']
36568 : ['3063 Business Instructional Fac', '12:00PM - 12:50PM', 'F']
36574 : ['3063 Business Instructional Fac', '01:00PM - 01:50PM', 'F']
71329 : ['2007 Business Instructional Fac', '09:00AM - 09:50AM', 'F']
71330 : ['2007 Business Instructional Fac', '08:00AM - 08:50AM', 'F']
71331 : ['1025 Business Instructional Fac', '01:00PM - 01:50PM', 'F']
71332 : ['1025 Business Instructional Fac', '02:00PM - 02:50PM', 'F']
36549 : ['n.a.', '07:00PM - 08:50PM', 'T']
71328 : ['n.a.', '07:00PM - 08:50PM', 'T']
45794 : ['Location Pending', 'ARRANGED', 'n.a.']
36577 : ['n.a.', '08:00AM - 09:20AM', 'MW']
36581 : ['2001 Business Instructional Fac', '09:30AM - 10:50AM', 'MW']
36584 : ['2063 Business Instructional Fac', '11:00AM - 12:20PM', 'MW']
36587 : ['2005 Business Instructional Fac', '03:30PM - 04:50PM', 'MW']
36590 : ['3001 Business Instructional Fac', '11:00AM - 12:20PM', 'TR']
36592 : ['2005 Business Instructional Fac', '12:30PM - 01:50PM', 'MW']
36598 : ['3001 Business Instructional Fac', '12:30PM - 01:50PM', 'TR']
49255 : ['2005 Business Instructional Fac', '02:00PM - 03:20PM', 'MW']
36610 : ['n.a.', '08:00AM - 09:20AM', 'TR']
36614 : ['2001 Business Instructional Fac', '09:30AM - 10:50AM', 'TR']
36618 : ['3003 Business Instructional Fac', '03:30PM - 04:50PM', 'TR']
36677 : ['2005 Business Instructional Fac', '12:30PM - 01:50PM', 'TR']
36680 : ['2005 Business Instructional Fac', '11:00AM - 12:20PM', 'TR']
36688 : ['2005 Business Instructional Fac', '09:30AM - 10:50AM', 'TR']
49258 : ['3003 Business Instructional Fac', '02:00PM - 03:20PM', 'TR']
36690 : ['n.a.', '02:00PM - 02:50PM', 'T']
36691 : ['n.a.', '03:30PM - 04:20PM', 'T']
36692 : ['1049 Business Instructional Fac', '08:00AM - 09:20AM', 'MW']
36700 : ['1049 Business Instructional Fac', '09:30AM - 10:50AM', 'MW']
36701 : ['1049 Business Instructional Fac', '11:00AM - 12:20PM', 'MW']
36713 : ['1025 Business Instructional Fac', '12:30PM - 01:50PM', 'MW']
49259 : ['1025 Business Instructional Fac', '02:00PM - 03:20PM', 'MW']
36703 : ['1025 Business Instructional Fac', '03:30PM - 04:50PM', 'MW']
67818 : ['2005 Business Instructional Fac', '11:00AM - 12:20PM', 'MW']
31317 : ['1049 Business Instructional Fac', '08:00AM - 09:20AM', 'TR']
31318 : ['1049 Business Instructional Fac', '09:30AM - 10:50AM', 'TR']
31319 : ['3009 Business Instructional Fac', '02:00PM - 03:20PM', 'TR']
31320 : ['2005 Business Instructional Fac', '03:30PM - 04:50PM', 'TR']
49280 : ['2005 Business Instructional Fac', '02:00PM - 03:20PM', 'TR']
62036 : ['1049 Business Instructional Fac', '11:00AM - 12:20PM', 'TR']
31321 : ['3001 Business Instructional Fac', '11:00AM - 12:20PM', 'MW']
31324 : ['3001 Business Instructional Fac', '12:30PM - 01:50PM', 'MW']
31330 : ['3001 Business Instructional Fac', '02:00PM - 03:20PM', 'MW']
31332 : ['1049 Business Instructional Fac', '03:30PM - 04:50PM', 'MW']
31333 : ['3003 Business Instructional Fac', '09:30AM - 10:50AM', 'MW']
45719 : ['3009 Business Instructional Fac', '09:30AM - 10:50AM', 'MW']
45934 : ['3003 Business Instructional Fac', '11:00AM - 12:20PM', 'MW']
61668 : ['n.a.n.a.', '04:00PM - 04:50PM0000ARRANGED', 'M      n.a.']
60065 : ['ARR Washington DC', '05:30PM - 07:30PM', 'M']
61229 : ['n.a.', 'ARRANGED', 'n.a.']
64742 : ['n.a.', 'ARRANGED', 'n.a.']
64739 : ['n.a.', 'ARRANGED', 'n.a.']
64732 : ['n.a.', 'ARRANGED', 'n.a.']
61230 : ['n.a.', 'ARRANGED', 'n.a.']
36754 : ['2005 Business Instructional Fac', '09:30AM - 10:50AM', 'MW']
36758 : ['3003 Business Instructional Fac', '02:00PM - 03:20PM', 'MW']
36764 : ['3057 Business Instructional Fac', '12:30PM - 01:50PM', 'MW']
36768 : ['2001 Business Instructional Fac', '02:00PM - 03:20PM', 'MW']
36771 : ['2001 Business Instructional Fac', '03:30PM - 04:50PM', 'MW']
54162 : ['3001 Business Instructional Fac', '09:30AM - 10:50AM', 'MW']
36779 : ['n.a.', '04:00PM - 05:20PM', 'R']
61231 : ['3003 Business Instructional Fac', '09:30AM - 10:50AM', 'TR']
64652 : ['3003 Business Instructional Fac', '09:30AM - 10:50AM', 'TR']
62729 : ['3003 Business Instructional Fac', '11:00AM - 12:20PM', 'TR']
64654 : ['3003 Business Instructional Fac', '11:00AM - 12:20PM', 'TR']
62730 : ['2011 Business Instructional Fac', '11:00AM - 12:20PM', 'MW']
64656 : ['2011 Business Instructional Fac', '11:00AM - 12:20PM', 'MW']
62731 : ['3001 Business Instructional Fac', '03:30PM - 04:50PM', 'MW']
64657 : ['3001 Business Instructional Fac', '03:30PM - 04:50PM', 'MW']
62732 : ['3003 Business Instructional Fac', '08:00AM - 09:20AM', 'TR']
64658 : ['3003 Business Instructional Fac', '08:00AM - 09:20AM', 'TR']
49130 : ['2001 Business Instructional Fac', '11:00AM - 12:20PM', 'TR']
63159 : ['2001 Business Instructional Fac', '11:00AM - 12:20PM', 'TR']
54569 : ['2001 Business Instructional Fac', '12:30PM - 01:50PM', 'TR']
63160 : ['2001 Business Instructional Fac', '12:30PM - 01:50PM', 'TR']
62733 : ['2063 Business Instructional Fac', '02:00PM - 03:20PM', 'TR']
63161 : ['2063 Business Instructional Fac', '02:00PM - 03:20PM', 'TR']
63119 : ['2057 Business Instructional Fac', '08:00AM - 09:20AM', 'TR']
63163 : ['2057 Business Instructional Fac', '08:00AM - 09:20AM', 'TR']
70659 : ['3009 Business Instructional Fac', '12:30PM - 01:50PM', 'TR']
70660 : ['3009 Business Instructional Fac', '12:30PM - 01:50PM', 'TR']
10038 : ['n.a.', 'ARRANGED', 'n.a.']
49761 : ['3041 Business Instructional Fac', '02:00PM - 03:20PM', 'TR']
67282 : ['n.a.', 'ARRANGED', 'n.a.']
67281 : ['n.a.', 'ARRANGED', 'n.a.']
56063 : ['1025 Business Instructional Fac', '11:00AM - 12:20PM', 'TR']
29678 : ['n.a.', 'ARRANGED', 'n.a.']
69435 : ['n.a.', 'ARRANGED', 'n.a.']
70308 : ['3057 Business Instructional Fac', '03:30PM - 04:50PM', 'MW']
69437 : ['n.a.', 'ARRANGED', 'n.a.']
69438 : ['n.a.', 'ARRANGED', 'n.a.']
29680 : ['3057 Business Instructional Fac', '09:30AM - 10:50AM', 'MW']
31334 : ['3057 Business Instructional Fac', '11:00AM - 12:20PM', 'MW']
61232 : ['n.a.', '07:00PM - 08:20PM', 'MW']
71904 : ['n.a.', 'ARRANGED', 'n.a.']
71905 : ['n.a.', 'ARRANGED', 'n.a.']
